Source,Target,Weight
介護老人保健施設羽生の丘オーベルジュ,特養ホーム十符風の音,5.207908078245162
仙台銀行亘理支店,ショッピングパーク亘理,0.7051843307292591
仙台銀行亘理支店,エイトタウン相馬　店舗Ｂ（ヨークベニマル棟）,20.469229798329724
短期入所生活介護施設楽々楽館,イオンSuC加美店,4.385631791615139
みやぎ生協名取西店,ジャスコ名取店,1.4599347347794007
みやぎ生協大河原店,ケーズデンキ大河原店,0.49202301303004825
白石カタクラショッピングセンター,七ヶ宿特別養護老人ホーム,17.337116688993483
デイリーポート新鮮館佐沼店,登米市消防防災センター,1.6950502002944272
特養ホーム十符風の音,松島町温水プール,5.567421895006838
七ヶ宿特別養護老人ホーム,ヨークベニマル平野店,15.261203406666533
七ヶ宿特別養護老人ホーム,マックスバリュ山形駅西口店,27.631989078818755
介護老人保健施設さくらの杜,ケーズデンキ大河原店,0.17809587208991104
マックスバリュー多賀城鶴ヶ谷店,多賀城小学校,0.3218588560098389
イオンSuC涌谷店,ヨークタウン涌谷,3.2017282694017712
ダイヤモンドシティ仙台名取ショッピングセンター,ジャスコ名取店,1.113252519558497
イオン栗原ショッピングセンター,ケーズデンキ築館店,5.315743960537234
マックスバリュ山形駅西口店,スマイルコート清住,1.2752085831889377
マックスバリュ山形駅西口店,ベル宮町,1.6722676069091318
ベル宮町,ベル北町,0.7877267003954029
ヨークベニマル山形嶋店,ベル北町,2.0412439607287722
スマイルコート清住,山辺町保健福祉・介護予防拠点センター,4.63146360595708
ベル北町,イオンモール天童,6.852846440987755
山辺町保健福祉・介護予防拠点センター,(仮称)イオンタウン南陽SM棟,22.831425573324147
ヨークタウン河北,イオンタウン寒河江中央店,5.909540524689269
ヨークタウン河北,ヨークベニマル新東根店,8.346727996952648
ヨークタウン河北,徳州苑,21.101580335677273
マックスバリュ高松店,イオンタウン寒河江中央店,4.0579180686521665
ヨークタウン天童,イオンモール天童,2.8933130108997225
ヨークタウン天童,ヨークベニマル新東根店,5.783263721774703
株式会社　ヨークベニマル,徳州苑,9.3858720899037
ヨークベニマル新南陽店,(仮称)イオンタウン南陽SM棟,2.3743561549613608
ヨークベニマル新南陽店,イオンタウン米沢　マックスバリュ棟,12.52035932216288
ヨークベニマル新南陽店,(仮称)ヨークベニマル長井小出,13.188414659544275
医療法人杏山会　吉川病院,(仮称)ヨークベニマル長井小出,3.5421120119707616
イオンタウン米沢　マックスバリュ棟,(仮称)ヨークベニマル米沢門東町店,2.6002193876785107
マックスバリュー藤島店,地域農産物活用型総合交流促進施設・コミュニティ施設,5.029576017004413
マックスバリュー藤島店,（仮称）グランドホーム「瑞穂の郷」,5.39149118406675
櫛引役場,協立リハビリテーション病院,1.1802866619619394
櫛引役場,月山ダム管理庁舎,9.50567646334117
ヤマザワ余目店,地域農産物活用型総合交流促進施設・コミュニティ施設,4.266620261258695
ヤマザワ余目店,コープなかのくち,8.163694967787267
ヤマザワ酒田旭新町店,コープなかのくち,1.1290315110631328
マックスバリュー鶴岡店,（仮称）くらしのセンターコープ千石,1.3024564619518304
マックスバリュー鶴岡店,（仮称）グランドホーム「瑞穂の郷」,2.536071848244354
マックスバリュー鶴岡店,協立リハビリテーション病院,2.9542607309525075
地域農産物活用型総合交流促進施設・コミュニティ施設,三川ショッピングセンター,4.3491242134999215
三川ショッピングセンター,イオン三川ショッピングセンター,0.0
ホームセンタームサシ鶴岡店,（仮称）くらしのセンターコープ千石,4.162351599941259
ホームセンタームサシ鶴岡店,マックスバリュあつみ店,31.77734982547296
マックスバリュあつみ店,ホームセンタームサシ村上,29.22657544236432
ヨークベニマル保原店,ザ・ビッグ鎌田店,7.838992503156832
イオンスーパーセンター鏡石店,メガステージ須賀川ヨークベニマル棟,4.868703305815734
イオンスーパーセンター鏡石店,ジャスコ那須店,37.18378207688265
メガステージ石川ヨークベニマル棟,メガステージ須賀川ヨークベニマル棟,13.299288809776984
メガステージ須賀川ヨークベニマル棟,ヨークベニマル方八町店,10.388550675397155
メガステージ田村ヨークベニマル棟,ヨークベニマル方八町店,21.283553933805603
メガステージ田村ヨークベニマル棟,ヨークベニマル太平寺店,27.907910619141564
ヨークベニマル西若松店,アピタ会津若松点,0.3407143710400214
ヨークベニマル西若松店,こころの医療センター,1.7470779380885393
アピタ会津若松点,那須青年自然の家,33.625711157050596
こころの医療センター,竹田綜合病院,0.0
こころの医療センター,ヨークベニマル町北町店,2.249562843552904
イオンスーパーセンター南相馬店,エイトタウン相馬　店舗Ｂ（ヨークベニマル棟）,15.100148066282056
ヨークベニマル平野店,メガネの相沢福島南矢野目店（認定時：メガネの相沢福島店）,1.8376813636440699
ヨークベニマル福島西店,ヨークベニマル福島泉店,1.386185023043455
ヨークベニマル吉倉店,ヨークベニマル太平寺店,1.6735362158461127
ヨークタウン野田店,ヨークベニマル福島泉店,1.1173886820063128
ヨークタウン野田店,みずほ銀行福島支店,1.3353297867021756
ヨークベニマル福島泉店,メガネの相沢福島南矢野目店（認定時：メガネの相沢福島店）,1.494793615336223
ヨークベニマル太平寺店,マックスバリュ大森店,0.6096208931794632
